transaction_id,price,date_of_transfer,postcode,property_type,new_build,tenure,address,locality,town_city,district,county,ppd_category_type,record_status
{96990CF6-8621-4A75-903D-8408E2078D51},100000,2015-07-08 00:00,M41 0SJ,F,N,L,22,,HARTINGTON CLOSE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{2409FA71-B0F0-4969-9197-8B1EC3ABFC5E},187000,2015-06-26 00:00,M41 6PD,S,N,L,4,,BOSDIN ROAD EAST,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{CA4BBE92-BA6F-4A4C-8205-EF55BFDD42FF},203500,2015-04-10 00:00,M41 6PY,S,N,F,14,,ROSLYN AVENUE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{BE128E47-FD87-4389-848A-8B38C734FDCE},99995,2015-07-24 00:00,M41 9RD,F,N,L,4,,ORME CLOSE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{926011A8-0665-4F28-91D0-8EF411F93E14},227500,2015-02-06 00:00,M41 7FA,S,N,F,21,,NEWBURY DRIVE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{ED2D32DF-3CFF-4F78-86C1-8444C9A06A73},205000,2015-06-18 00:00,M41 5GH,S,N,L,70,,TREVOR ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{1204DB54-D7B3-4769-BD26-F306963CF83A},183000,2015-08-17 00:00,M41 9LT,T,N,F,168,,STRETFORD ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{263FEF4C-E6A0-4397-A5E8-F3249F792D73},265000,2015-04-24 00:00,M41 8RY,D,N,F,24,,ULLSWATER ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{F51E254C-F922-416A-ACED-9D719D857CA6},195000,2015-06-25 00:00,M41 9LN,S,N,F,6,,ELM GROVE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{305E90EF-3B34-436F-901F-EFA5D3BF88D0},217000,2015-06-19 00:00,M41 0GN,S,N,L,28,,ABINGDON ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{21E5FEB7-3BBC-2439-E050-A8C06205342E},350000,2015-03-24 00:00,M41 5RQ,O,N,F,"BOWFELL HOUSE, 2",,BROOK ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{CBF50FDE-0D20-4C71-A21C-96A2CE0E91C5},165000,2015-07-17 00:00,M41 5AX,S,N,F,23,,ROSENEATH ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{D7FD1524-5974-43D5-9CF6-9A37B09666B7},315000,2015-05-01 00:00,M41 5AE,S,N,F,2,,NEWTON ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{B823D3F5-0D63-44F4-B81B-F38100E1428C},265000,2015-05-29 00:00,M41 6QH,S,N,F,6,,DE BROOK CLOSE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{21E5FEB7-44EA-2439-E050-A8C06205342E},161250,2015-07-17 00:00,M41 5AY,T,N,F,125,,ROSENEATH ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{F6A628CB-9968-4AEC-BFB0-A17ED81706D8},75000,2015-05-15 00:00,M41 5PL,F,N,L,44,,MALVERN AVENUE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{F6E8E0FE-9538-4AD9-AAD0-A1AAC1431AB7},238500,2015-02-27 00:00,M41 5GN,S,N,F,51,,WHITELAKE AVENUE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{CFF3731D-8541-489F-A821-A1C4B9D86446},275000,2015-02-19 00:00,M41 5SZ,S,N,F,54,,CORNHILL ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{29211E0F-84B6-45CA-88F8-9710ACE02BE0},190000,2015-08-14 00:00,M41 7BJ,S,N,F,20,,HAYESWATER ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{21E5FEB6-044C-2439-E050-A8C06205342E},222100,2015-01-22 00:00,M41 9PE,D,N,F,13,,HUMPHREY LANE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{21E5FEB6-360C-2439-E050-A8C06205342E},134000,2015-05-22 00:00,M41 7FR,S,N,F,11,,BENBECULA WAY,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{21E5FEB6-1FE2-2439-E050-A8C06205342E},114000,2015-01-23 00:00,M41 6WX,S,N,F,10,,ALTON AVENUE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{A48F09CB-4EE4-45E5-B7B3-9E74C961D59B},210000,2015-08-07 00:00,M41 9WJ,S,N,F,262,,STRETFORD ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{23B6165E-3CD1-FCF4-E050-A8C0620577FA},355000,2015-09-25 00:00,M41 0UG,D,N,L,39,,WINCHESTER ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{2AC10E4F-A3A3-1AF6-E050-A8C063052BA1},150000,2015-12-04 00:00,M41 7HD,S,N,F,74,,SHETLAND WAY,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{2AC10E4F-A3CB-1AF6-E050-A8C063052BA1},205000,2015-12-23 00:00,M41 7AJ,S,N,F,52,,CANTERBURY ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-62F2-E510-E050-A8C06205480E},397500,2015-12-02 00:00,M41 9HL,S,N,F,27,,WESTMORLAND ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-62FA-E510-E050-A8C06205480E},120000,2015-12-11 00:00,M41 5GS,F,N,L,BRENTWOOD HOUSE,FLAT 16,FLIXTON ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-64ED-E510-E050-A8C06205480E},220000,2015-11-18 00:00,M41 6PD,S,N,L,6,,BOSDIN ROAD EAST,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-64EF-E510-E050-A8C06205480E},130000,2015-10-12 00:00,M41 6PS,S,N,F,17,,CONISTON ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-6326-E510-E050-A8C06205480E},267000,2015-11-24 00:00,M41 8SR,D,N,L,17,,BELGRAVE AVENUE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-6335-E510-E050-A8C06205480E},237500,2015-11-13 00:00,M41 9WD,S,N,F,13,,ROCK ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-6382-E510-E050-A8C06205480E},155000,2015-12-14 00:00,M41 7FE,S,N,F,347,,KINGSWAY PARK,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-659F-E510-E050-A8C06205480E},170000,2015-11-27 00:00,M41 6PU,S,N,F,25,,UPLANDS ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{21E5FEB7-6FAB-2439-E050-A8C06205342E},150000,2015-07-30 00:00,M41 9AX,O,N,F,119,,HIGHER ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{21E5FEB7-6FDE-2439-E050-A8C06205342E},120000,2015-07-30 00:00,M41 7DP,S,N,F,22,,DALVEEN AVENUE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-661C-E510-E050-A8C06205480E},188000,2015-12-04 00:00,M41 7BS,T,N,F,65,,DAVYHULME ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-6239-E510-E050-A8C06205480E},221000,2015-12-15 00:00,M41 0GW,S,N,L,55,,ABINGDON ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-6642-E510-E050-A8C06205480E},149999,2015-12-02 00:00,M41 5BQ,F,N,L,36,,LEGWOOD COURT,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-4B2B-E510-E050-A8C06205480E},230000,2015-11-27 00:00,M41 5RP,S,N,F,25,,MALVERN AVENUE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{21E5FEB7-676D-2439-E050-A8C06205342E},116000,2015-02-11 00:00,M41 5ND,F,N,L,12,FLAT 50,FLIXTON ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{21E5FEB7-726A-2439-E050-A8C06205342E},174996,2015-03-13 00:00,M41 7WA,S,N,F,23,,BARTON ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-4B46-E510-E050-A8C06205480E},130000,2015-11-27 00:00,M41 7EY,S,N,F,46,,IONA WAY,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-4B58-E510-E050-A8C06205480E},277000,2015-12-04 00:00,M41 0RW,T,N,L,59,,WESTMINSTER ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-4B59-E510-E050-A8C06205480E},207500,2015-11-25 00:00,M41 7NT,S,N,L,129,,WOODHOUSE ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{21E5FEB7-6559-2439-E050-A8C06205342E},17000,2015-02-05 00:00,M41 0XZ,T,N,F,1B,,GLADSTONE ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-4B72-E510-E050-A8C06205480E},137000,2015-12-04 00:00,M41 7HB,T,N,F,97,,IONA WAY,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-4B74-E510-E050-A8C06205480E},500000,2015-11-20 00:00,M41 6LF,S,N,F,10,,WESTERN ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-4B87-E510-E050-A8C06205480E},190000,2015-10-07 00:00,M41 5QL,T,N,F,16,,DELAMERE ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-4B8E-E510-E050-A8C06205480E},183000,2015-11-11 00:00,M41 9PL,T,N,F,85,,FIRWOOD AVENUE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-4BB1-E510-E050-A8C06205480E},162500,2015-12-18 00:00,M41 9DD,T,N,F,25,,NORTH GROVE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
